Date,Open,High,Low,Close,Adj Close,Volume
2020-09-15,0.055000,0.055000,0.055000,0.055000,0.055000,1979
2020-09-16,0.055000,0.055000,0.055000,0.055000,0.055000,0
2020-09-17,0.050000,0.055000,0.050000,0.050000,0.050000,57501
2020-09-18,0.050000,0.050000,0.050000,0.050000,0.050000,9000
2020-09-21,0.055000,0.055000,0.050000,0.050000,0.050000,50000
2020-09-22,0.055000,0.055000,0.045000,0.045000,0.045000,26000
2020-09-23,0.050000,0.050000,0.045000,0.050000,0.050000,126932
2020-09-24,0.050000,0.050000,0.050000,0.050000,0.050000,44560
2020-09-25,0.050000,0.050000,0.050000,0.050000,0.050000,0
2020-09-28,0.045000,0.050000,0.045000,0.045000,0.045000,66490
2020-09-29,0.040000,0.050000,0.040000,0.050000,0.050000,61730
2020-09-30,0.045000,0.045000,0.045000,0.045000,0.045000,2800
2020-10-01,0.045000,0.045000,0.045000,0.045000,0.045000,0
2020-10-02,0.045000,0.045000,0.045000,0.045000,0.045000,0
2020-10-05,0.045000,0.045000,0.040000,0.045000,0.045000,80170
2020-10-06,0.040000,0.045000,0.040000,0.040000,0.040000,42853
2020-10-07,0.045000,0.045000,0.040000,0.040000,0.040000,25000
2020-10-08,0.045000,0.045000,0.040000,0.045000,0.045000,40030
2020-10-09,0.040000,0.045000,0.040000,0.045000,0.045000,53856
2020-10-13,0.040000,0.045000,0.040000,0.045000,0.045000,11270
2020-10-14,0.045000,0.045000,0.045000,0.045000,0.045000,0
2020-10-15,0.045000,0.045000,0.040000,0.040000,0.040000,76000
2020-10-16,0.040000,0.050000,0.040000,0.045000,0.045000,350200
2020-10-19,0.050000,0.050000,0.050000,0.050000,0.050000,45675
2020-10-20,0.050000,0.055000,0.045000,0.050000,0.050000,24610
2020-10-21,0.055000,0.055000,0.050000,0.050000,0.050000,20730
2020-10-22,0.055000,0.055000,0.050000,0.055000,0.055000,115313
2020-10-23,0.050000,0.055000,0.050000,0.050000,0.050000,6002
2020-10-26,0.050000,0.060000,0.050000,0.060000,0.060000,63800
2020-10-27,0.050000,0.055000,0.050000,0.055000,0.055000,11250
2020-10-28,0.055000,0.055000,0.050000,0.050000,0.050000,50583
2020-10-29,0.055000,0.055000,0.055000,0.055000,0.055000,36120
2020-10-30,0.050000,0.055000,0.050000,0.055000,0.055000,94000
2020-11-02,0.055000,0.055000,0.050000,0.050000,0.050000,79500
2020-11-03,0.050000,0.055000,0.050000,0.055000,0.055000,63140
2020-11-04,0.055000,0.055000,0.045000,0.045000,0.045000,19280
2020-11-05,0.050000,0.050000,0.050000,0.050000,0.050000,3050
2020-11-06,0.055000,0.055000,0.050000,0.050000,0.050000,72041
2020-11-09,0.055000,0.055000,0.045000,0.045000,0.045000,168914
2020-11-10,0.050000,0.050000,0.045000,0.045000,0.045000,57514
2020-11-11,0.040000,0.045000,0.040000,0.040000,0.040000,316500
2020-11-12,0.045000,0.045000,0.040000,0.040000,0.040000,14000
2020-11-13,0.040000,0.045000,0.040000,0.040000,0.040000,16865
2020-11-16,0.040000,0.045000,0.040000,0.045000,0.045000,233550
2020-11-17,0.045000,0.050000,0.045000,0.050000,0.050000,368700
2020-11-18,0.045000,0.050000,0.045000,0.050000,0.050000,51660
2020-11-19,0.055000,0.055000,0.050000,0.050000,0.050000,30450
2020-11-20,0.060000,0.085000,0.060000,0.070000,0.070000,1527302
2020-11-23,0.070000,0.085000,0.070000,0.075000,0.075000,1133472
2020-11-24,0.080000,0.080000,0.065000,0.065000,0.065000,899830
2020-11-25,0.090000,0.200000,0.090000,0.195000,0.195000,4906233
2020-11-26,0.230000,0.230000,0.140000,0.165000,0.165000,5647287
2020-11-27,0.155000,0.160000,0.130000,0.135000,0.135000,979312
2020-11-30,0.155000,0.200000,0.150000,0.190000,0.190000,2246210
2020-12-01,0.175000,0.190000,0.160000,0.165000,0.165000,1056410
2020-12-02,0.170000,0.175000,0.145000,0.155000,0.155000,901500
2020-12-03,0.165000,0.170000,0.160000,0.170000,0.170000,670744
2020-12-04,0.170000,0.180000,0.145000,0.160000,0.160000,1126556
2020-12-07,0.160000,0.160000,0.145000,0.150000,0.150000,1431154
2020-12-08,0.145000,0.145000,0.130000,0.135000,0.135000,1076043
2020-12-09,0.140000,0.145000,0.115000,0.145000,0.145000,1019271
2020-12-10,0.145000,0.150000,0.125000,0.145000,0.145000,795088
2020-12-11,0.140000,0.145000,0.120000,0.130000,0.130000,611319
2020-12-14,0.135000,0.135000,0.120000,0.135000,0.135000,465361
2020-12-15,0.145000,0.180000,0.130000,0.180000,0.180000,1005013
2020-12-16,0.180000,0.185000,0.155000,0.155000,0.155000,591561
2020-12-17,0.180000,0.185000,0.165000,0.165000,0.165000,1535045
2020-12-18,0.170000,0.170000,0.150000,0.165000,0.165000,643910
2020-12-21,0.160000,0.175000,0.150000,0.155000,0.155000,583832
2020-12-22,0.170000,0.310000,0.165000,0.280000,0.280000,5906057
2020-12-23,0.250000,0.275000,0.190000,0.210000,0.210000,4468288
2020-12-24,0.210000,0.215000,0.180000,0.195000,0.195000,1239140
2020-12-29,0.250000,0.250000,0.195000,0.200000,0.200000,2815005
2020-12-30,0.215000,0.220000,0.195000,0.200000,0.200000,1539498
2020-12-31,0.200000,0.215000,0.195000,0.210000,0.210000,705444
2021-01-04,0.235000,0.245000,0.220000,0.245000,0.245000,1211323
2021-01-05,0.250000,0.250000,0.220000,0.240000,0.240000,876544
2021-01-06,0.250000,0.250000,0.215000,0.230000,0.230000,1342849
2021-01-07,0.225000,0.360000,0.225000,0.360000,0.360000,5424214
2021-01-08,0.360000,0.440000,0.340000,0.350000,0.350000,3351419
2021-01-11,0.280000,0.300000,0.260000,0.290000,0.290000,3033544
2021-01-12,0.290000,0.320000,0.290000,0.315000,0.315000,1182118
2021-01-13,0.315000,0.330000,0.305000,0.315000,0.315000,294593
2021-01-14,0.320000,0.360000,0.320000,0.345000,0.345000,1344338
2021-01-15,0.350000,0.360000,0.310000,0.320000,0.320000,1671235
2021-01-18,0.370000,0.390000,0.360000,0.375000,0.375000,1266196
2021-01-19,0.385000,0.400000,0.355000,0.360000,0.360000,1030815
2021-01-20,0.370000,0.370000,0.310000,0.310000,0.310000,1248476
2021-01-21,0.300000,0.305000,0.270000,0.270000,0.270000,975689
2021-01-22,0.280000,0.320000,0.280000,0.315000,0.315000,498888
2021-01-25,0.325000,0.340000,0.290000,0.300000,0.300000,604597
2021-01-26,0.300000,0.300000,0.275000,0.290000,0.290000,309192
2021-01-27,0.280000,0.280000,0.240000,0.250000,0.250000,644140
2021-01-28,0.225000,0.310000,0.225000,0.300000,0.300000,380390
2021-01-29,0.330000,0.345000,0.275000,0.285000,0.285000,975849
2021-02-01,0.310000,0.310000,0.280000,0.300000,0.300000,620622
2021-02-02,0.320000,0.320000,0.285000,0.310000,0.310000,515829
2021-02-03,0.295000,0.320000,0.285000,0.310000,0.310000,495953
2021-02-04,0.310000,0.315000,0.285000,0.295000,0.295000,335308
2021-02-05,0.290000,0.305000,0.280000,0.290000,0.290000,353802
2021-02-08,0.315000,0.330000,0.295000,0.315000,0.315000,862392
2021-02-09,0.315000,0.320000,0.285000,0.300000,0.300000,760624
2021-02-10,0.300000,0.305000,0.285000,0.300000,0.300000,344434
2021-02-11,0.310000,0.340000,0.290000,0.320000,0.320000,1024326
2021-02-12,0.325000,0.325000,0.300000,0.310000,0.310000,567774
2021-02-16,0.335000,0.405000,0.330000,0.370000,0.370000,3079564
2021-02-17,0.410000,0.740000,0.410000,0.730000,0.730000,10088028
2021-02-18,0.650000,0.700000,0.520000,0.530000,0.530000,4508587
2021-02-19,0.560000,0.750000,0.560000,0.700000,0.700000,5029930
2021-02-22,0.580000,0.710000,0.570000,0.620000,0.620000,3768703
2021-02-23,0.580000,0.590000,0.480000,0.495000,0.495000,2379304
2021-02-24,0.580000,0.620000,0.520000,0.550000,0.550000,1349098
2021-02-25,0.590000,0.590000,0.480000,0.490000,0.490000,839004
2021-02-26,0.470000,0.520000,0.450000,0.455000,0.455000,689399
2021-03-01,0.480000,0.580000,0.480000,0.570000,0.570000,1302651
2021-03-02,0.590000,0.590000,0.500000,0.540000,0.540000,803203
2021-03-03,0.560000,0.560000,0.455000,0.460000,0.460000,444264
2021-03-04,0.470000,0.480000,0.380000,0.390000,0.390000,1004829
2021-03-05,0.420000,0.430000,0.330000,0.390000,0.390000,618934
2021-03-08,0.405000,0.450000,0.365000,0.435000,0.435000,466667
2021-03-09,0.485000,0.530000,0.475000,0.530000,0.530000,846211
